Term,Coef,SE Coef,95% CI,T-Value,P-Value
  Delaplane,-0.415,0.468,"(-1.332, 0.501)",-0.89,0.374
  Delavan,-0.695,0.466,"(-1.608, 0.218)",-1.49,0.136
  Delaware,-1.709,0.54,"(-2.768, -0.650)",-3.16,0.002
  Delco,0.492,0.54,"(-0.566, 1.550)",0.91,0.362
  Delhi,-0.895,0.389,"(-1.657, -0.133)",-2.3,0.021
  Delmar,0.35,0.441,"(-0.515, 1.214)",0.79,0.428
  Delray Beach,-0.93,0.395,"(-1.703, -0.156)",-2.36,0.019
  Deltona,-1.102,0.428,"(-1.941, -0.263)",-2.57,0.01
  Deming,-0.778,0.447,"(-1.654, 0.099)",-1.74,0.082
  Demotte,-0.498,0.442,"(-1.364, 0.369)",-1.13,0.26
  Denair,-0.877,0.427,"(-1.714, -0.040)",-2.05,0.04
  Dendron,0.541,0.54,"(-0.517, 1.598)",1,0.316
  Denham Springs,-1.168,0.472,"(-2.093, -0.243)",-2.47,0.013
  Denmark,-1.358,0.468,"(-2.275, -0.441)",-2.9,0.004
  Dennison,-0.953,0.419,"(-1.773, -0.133)",-2.28,0.023
  Dent,-0.772,0.539,"(-1.829, 0.284)",-1.43,0.152
  Denton,-0.775,0.39,"(-1.539, -0.011)",-1.99,0.047
  Denver,-0.869,0.383,"(-1.620, -0.117)",-2.27,0.023
  Denville,-0.658,0.468,"(-1.576, 0.259)",-1.41,0.16
  Depoe Bay,-0.785,0.388,"(-1.545, -0.025)",-2.02,0.043
  Derby,-1.595,0.543,"(-2.660, -0.531)",-2.94,0.003
  Dermott,-1.418,0.541,"(-2.479, -0.357)",-2.62,0.009
  Derry,-0.496,0.419,"(-1.318, 0.326)",-1.18,0.237
  Des Moines,-0.779,0.392,"(-1.548, -0.010)",-1.99,0.047
  Des Plaines,-0.886,0.387,"(-1.644, -0.129)",-2.29,0.022
  Desmet,-0.73,0.449,"(-1.610, 0.151)",-1.62,0.104
  Destrehan,-0.608,0.472,"(-1.533, 0.317)",-1.29,0.198
  Detroit,-1.062,0.383,"(-1.813, -0.311)",-2.77,0.006
  Detroit Lakes,-0.788,0.396,"(-1.563, -0.012)",-1.99,0.047
  Devine,-1.532,0.54,"(-2.590, -0.474)",-2.84,0.005
  Dewey,-0.449,0.442,"(-1.316, 0.418)",-1.01,0.31
  DeWitt,-0.621,0.468,"(-1.538, 0.295)",-1.33,0.184
  Dexter,-0.814,0.386,"(-1.571, -0.057)",-2.11,0.035
  Diamond,-0.878,0.539,"(-1.935, 0.178)",-1.63,0.103
  Diamond Point,0.541,0.539,"(-0.515, 1.598)",1,0.315
  Diamond Springs,-0.895,0.467,"(-1.811, 0.021)",-1.91,0.056
  Diboll,-2.061,0.54,"(-3.119, -1.003)",-3.82,0
  Dickerson,-0.473,0.429,"(-1.313, 0.367)",-1.1,0.27
  Dickinson,-0.599,0.419,"(-1.421, 0.223)",-1.43,0.153
  Dierks,-0.459,0.47,"(-1.380, 0.462)",-0.98,0.329
  Dillon,-0.455,0.403,"(-1.246, 0.336)",-1.13,0.26
  Dillsboro,0.126,0.468,"(-0.792, 1.044)",0.27,0.788
  Dimondale,-0.662,0.468,"(-1.579, 0.255)",-1.41,0.157
  Dinuba,-0.891,0.405,"(-1.686, -0.096)",-2.2,0.028
  Dinwiddie,-3.027,0.54,"(-4.086, -1.969)",-5.61,0
  Discovery Bay,-0.959,0.403,"(-1.749, -0.170)",-2.38,0.017
  District Heights,-1.284,0.42,"(-2.107, -0.461)",-3.06,0.002
  Dix,-0.178,0.442,"(-1.043, 0.687)",-0.4,0.687
  Dixon,-0.838,0.384,"(-1.591, -0.086)",-2.18,0.029
  Dobbs Ferry,-1.349,0.468,"(-2.266, -0.433)",-2.89,0.004
  Dobson,-1.605,0.42,"(-2.428, -0.783)",-3.82,0
  Dodge Center,-0.789,0.398,"(-1.569, -0.009)",-1.98,0.047
  Dodgeville,0.003,0.537,"(-1.050, 1.056)",0.01,0.995
  Dolan Springs,-1.809,0.54,"(-2.868, -0.751)",-3.35,0.001
  Dolgeville,0.444,0.539,"(-0.613, 1.501)",0.82,0.411
  Dolores,-0.017,0.441,"(-0.883, 0.848)",-0.04,0.969
  Dolphin,-1.844,0.539,"(-2.901, -0.787)",-3.42,0.001
  Dolton,-0.912,0.429,"(-1.752, -0.072)",-2.13,0.033
  Doral,0.439,0.395,"(-0.335, 1.213)",1.11,0.266
  Dorchester,-0.614,0.414,"(-1.426, 0.198)",-1.48,0.138
  Dorris,-0.9,0.419,"(-1.721, -0.080)",-2.15,0.031
  Dos Palos,-0.865,0.393,"(-1.636, -0.094)",-2.2,0.028
  Doswell,-0.679,0.441,"(-1.544, 0.185)",-1.54,0.124
  Dothan,-1.066,0.443,"(-1.934, -0.199)",-2.41,0.016
  Double Springs,0.944,0.541,"(-0.115, 2.004)",1.75,0.081
  Douglas,0.144,0.428,"(-0.694, 0.982)",0.34,0.736
  Douglas City,-0.884,0.413,"(-1.693, -0.075)",-2.14,0.032
  Douglasville,-0.794,0.4,"(-1.578, -0.010)",-1.98,0.047
  Dover,-0.785,0.387,"(-1.544, -0.026)",-2.03,0.043
  Dowagiac,0.414,0.539,"(-0.643, 1.471)",0.77,0.442
  Downers Grove,-1.016,0.391,"(-1.781, -0.250)",-2.6,0.009
  Downey,-0.818,0.383,"(-1.569, -0.068)",-2.14,0.033
  Downingtown,-1.746,0.42,"(-2.569, -0.922)",-4.16,0
  Doyle,-0.908,0.409,"(-1.709, -0.107)",-2.22,0.026
  Dozier,-1.137,0.469,"(-2.056, -0.217)",-2.42,0.015
  Drain,-0.841,0.385,"(-1.597, -0.086)",-2.18,0.029
  Draper,-0.852,0.383,"(-1.604, -0.101)",-2.22,0.026
  Dresden,0.452,0.54,"(-0.606, 1.511)",0.84,0.402
  Dresher,-1.738,0.54,"(-2.797, -0.679)",-3.22,0.001
  Drewsey,-0.882,0.396,"(-1.657, -0.106)",-2.23,0.026
  Driggs,-0.889,0.546,"(-1.960, 0.181)",-1.63,0.103
  Drums,-1.069,0.54,"(-2.128, -0.010)",-1.98,0.048
  Dry Branch,-0.056,0.468,"(-0.973, 0.862)",-0.12,0.906
  Du Bois,-1.365,0.469,"(-2.284, -0.446)",-2.91,0.004
  Duanesburg,-1.303,0.413,"(-2.112, -0.493)",-3.15,0.002
  Duarte,-0.858,0.385,"(-1.612, -0.104)",-2.23,0.026
  Dublin,-0.881,0.385,"(-1.635, -0.127)",-2.29,0.022
  Dubois,-1.014,0.436,"(-1.868, -0.160)",-2.33,0.02
  Dubuque,0.564,0.542,"(-0.498, 1.627)",1.04,0.298
  Duchesne,-0.922,0.387,"(-1.681, -0.162)",-2.38,0.017
  Duck,-1.202,0.47,"(-2.124, -0.281)",-2.56,0.011
  Duette,0.443,0.468,"(-0.475, 1.361)",0.95,0.344
  Duffield,-0.887,0.468,"(-1.803, 0.030)",-1.9,0.058
  Dufur,-0.923,0.389,"(-1.684, -0.161)",-2.37,0.018
  Dugway,-0.898,0.441,"(-1.763, -0.033)",-2.04,0.042
  Duluth,-0.87,0.385,"(-1.624, -0.115)",-2.26,0.024
  Dumfries,-0.649,0.4,"(-1.432, 0.135)",-1.62,0.105
  Dumont,-0.777,0.395,"(-1.552, -0.002)",-1.97,0.049
  Dunbar,-1.092,0.542,"(-2.153, -0.030)",-2.02,0.044
  Dunbarton,-0.789,0.54,"(-1.847, 0.270)",-1.46,0.144
  Duncan,-0.347,0.415,"(-1.159, 0.466)",-0.84,0.403
  Duncannon,-2.007,0.54,"(-3.066, -0.948)",-3.71,0
  Duncansville,-0.869,0.54,"(-1.928, 0.190)",-1.61,0.108
  Duncanville,-0.756,0.413,"(-1.567, 0.054)",-1.83,0.067
  Dundas,-0.778,0.413,"(-1.587, 0.031)",-1.88,0.06
  Dundee,-0.755,0.385,"(-1.510, 0.000)",-1.96,0.05
  Dunkirk,-1.681,0.441,"(-2.546, -0.816)",-3.81,0
  Dunlap,-1.092,0.468,"(-2.008, -0.175)",-2.34,0.02
  Dunn,-0.676,0.41,"(-1.479, 0.127)",-1.65,0.099
  Dunn Loring,-0.373,0.468,"(-1.289, 0.544)",-0.8,0.426
  Dunnell,-0.776,0.539,"(-1.833, 0.281)",-1.44,0.15
  Dunnigan,-0.784,0.396,"(-1.559, -0.008)",-1.98,0.048
  Dunsmuir,-0.903,0.409,"(-1.704, -0.103)",-2.21,0.027
  Dupo,0.31,0.468,"(-0.608, 1.227)",0.66,0.508
  Dupont,-0.782,0.4,"(-1.567, 0.002)",-1.95,0.051
  Durand,-0.021,0.539,"(-1.078, 1.036)",-0.04,0.969
  Durango,-0.237,0.468,"(-1.155, 0.680)",-0.51,0.612
  Durant,0.777,0.541,"(-0.284, 1.838)",1.43,0.151
  Durham,-0.98,0.387,"(-1.738, -0.223)",-2.54,0.011
  Dutch Flat,-0.878,0.405,"(-1.673, -0.083)",-2.16,0.03
  Dutch John,-0.573,0.419,"(-1.394, 0.248)",-1.37,0.171
  Dutton,0.675,0.551,"(-0.404, 1.754)",1.23,0.22
  Duxbury,-1.009,0.541,"(-2.069, 0.051)",-1.87,0.062
  Dyer,-0.257,0.428,"(-1.096, 0.583)",-0.6,0.549
  Dyersburg,-1.347,0.428,"(-2.186, -0.508)",-3.15,0.002
  Eads,-1.014,0.468,"(-1.932, -0.096)",-2.17,0.03
  Eagle,-0.767,0.468,"(-1.685, 0.150)",-1.64,0.101
  Eagle Bend,-0.928,0.539,"(-1.985, 0.129)",-1.72,0.085
  Eagle Creek,-0.664,0.39,"(-1.429, 0.101)",-1.7,0.089
  Eagle Lake,-0.793,0.405,"(-1.588, 0.001)",-1.96,0.05
  Eagle Mountain,-0.971,0.539,"(-2.028, 0.086)",-1.8,0.072
  Eagle Nest,-0.242,0.555,"(-1.330, 0.846)",-0.44,0.663
  Eagle Point,-0.843,0.384,"(-1.595, -0.091)",-2.2,0.028
  Eagle Rock,0.59,0.468,"(-0.327, 1.508)",1.26,0.207
  Earleville,0.157,0.54,"(-0.902, 1.216)",0.29,0.771
  Earlham,-1.543,0.542,"(-2.606, -0.480)",-2.85,0.004
  Earlimart,-0.862,0.391,"(-1.628, -0.095)",-2.2,0.028
  Earth City,-0.815,0.542,"(-1.877, 0.247)",-1.5,0.133
  East Aurora,-1.555,0.539,"(-2.612, -0.498)",-2.88,0.004
  East Bend,0.532,0.468,"(-0.386, 1.450)",1.14,0.256
  East Bernard,0.405,0.54,"(-0.652, 1.463)",0.75,0.453
  East Bethany,-0.652,0.539,"(-1.709, 0.405)",-1.21,0.227
  East Brunswick,-0.987,0.393,"(-1.758, -0.217)",-2.51,0.012
  East Chatham,-1.491,0.539,"(-2.548, -0.434)",-2.77,0.006
  East Chicago,-0.931,0.468,"(-1.850, -0.013)",-1.99,0.047
  East Concord,0.341,0.539,"(-0.716, 1.398)",0.63,0.528
  East Dorset,-0.754,0.543,"(-1.819, 0.310)",-1.39,0.165
  East Elmhurst,-0.932,0.395,"(-1.706, -0.157)",-2.36,0.018
  East Greenbush,-1.432,0.468,"(-2.348, -0.515)",-3.06,0.002
  East Greenwich,-0.625,0.413,"(-1.434, 0.184)",-1.51,0.13
  East Haddam,0.49,0.468,"(-0.428, 1.408)",1.05,0.295
  East Hartford,-1.148,0.391,"(-1.915, -0.381)",-2.93,0.003
  East Hartland,0.36,0.468,"(-0.558, 1.278)",0.77,0.442
  East Haven,-1.237,0.409,"(-2.039, -0.434)",-3.02,0.003
  East Islip,-0.432,0.539,"(-1.489, 0.625)",-0.8,0.423
  East Kingston,-0.843,0.541,"(-1.902, 0.217)",-1.56,0.119
  East Lansing,-0.302,0.413,"(-1.112, 0.507)",-0.73,0.464
  East Lyme,-0.255,0.442,"(-1.121, 0.611)",-0.58,0.563
  East Meadow,-1.164,0.393,"(-1.933, -0.394)",-2.96,0.003
  East Moline,0.266,0.468,"(-0.651, 1.183)",0.57,0.57
  East Orange,-1.299,0.39,"(-2.062, -0.535)",-3.33,0.001
  East Peoria,-0.17,0.468,"(-1.087, 0.747)",-0.36,0.717
  East Providence,-0.475,0.403,"(-1.266, 0.315)",-1.18,0.239
  East Rutherford,-1.469,0.414,"(-2.280, -0.659)",-3.55,0
  East Saint Louis,-0.76,0.419,"(-1.581, 0.062)",-1.81,0.07
  East Shasta,-0.822,0.539,"(-1.879, 0.235)",-1.52,0.127
  East Stroudsburg,-0.301,0.42,"(-1.125, 0.523)",-0.72,0.474
  East Syracuse,-0.965,0.406,"(-1.760, -0.169)",-2.38,0.017
  East Taunton,0.036,0.542,"(-1.027, 1.100)",0.07,0.947
  East Tehama,-0.82,0.539,"(-1.876, 0.237)",-1.52,0.128
  East Troy,-0.742,0.465,"(-1.654, 0.171)",-1.59,0.111
  East Wenatchee,0.618,0.54,"(-0.440, 1.676)",1.15,0.252
  East Windsor,-1.093,0.428,"(-1.932, -0.254)",-2.55,0.011
  Eastaboga,-1.042,0.469,"(-1.962, -0.122)",-2.22,0.026
  Eastlake,-0.735,0.54,"(-1.794, 0.324)",-1.36,0.174
  Eastman,0.015,0.44,"(-0.847, 0.877)",0.03,0.973
  Easton,-0.062,0.402,"(-0.851, 0.726)",-0.15,0.877
  Eastport,-1.734,0.539,"(-2.791, -0.677)",-3.21,0.001
  Eaton,0.132,0.54,"(-0.926, 1.190)",0.24,0.807
  Eaton Rapids,0.275,0.427,"(-0.563, 1.112)",0.64,0.52
  Eatonton,0.124,0.468,"(-0.794, 1.041)",0.26,0.792
  Eatontown,-1.276,0.419,"(-2.098, -0.454)",-3.04,0.002
  Eatonville,0.194,0.414,"(-0.616, 1.005)",0.47,0.638
  Eau Claire,-1.444,0.416,"(-2.260, -0.628)",-3.47,0.001
  Echo,-0.869,0.386,"(-1.626, -0.112)",-2.25,0.024
  Echo Lake,-0.377,0.409,"(-1.178, 0.424)",-0.92,0.356
  Eddington,-0.736,0.54,"(-1.795, 0.323)",-1.36,0.173
  Eddyville,-0.727,0.396,"(-1.503, 0.048)",-1.84,0.066
  Eden,0.041,0.445,"(-0.830, 0.913)",0.09,0.926
  Eden Prairie,-0.793,0.385,"(-1.547, -0.039)",-2.06,0.039
  Edenton,-1.619,0.54,"(-2.677, -0.560)",-3,0.003
  Edgerton,-0.83,0.472,"(-1.756, 0.095)",-1.76,0.079
  Edgewater,-0.08,0.54,"(-1.139, 0.979)",-0.15,0.883
  Edgewood,-1.793,0.54,"(-2.852, -0.734)",-3.32,0.001
  Edison,-1.308,0.393,"(-2.078, -0.537)",-3.33,0.001
  Edmond,0.278,0.678,"(-1.051, 1.607)",0.41,0.682
  Edon,-0.608,0.54,"(-1.667, 0.451)",-1.12,0.261
  Edwards,-0.868,0.39,"(-1.631, -0.104)",-2.23,0.026
  Edwardsville,-0.38,0.413,"(-1.190, 0.431)",-0.92,0.358
  Effie,-0.879,0.539,"(-1.936, 0.178)",-1.63,0.103
  Effingham,-0.981,0.468,"(-1.898, -0.063)",-2.09,0.036
  Egg Harbor City,0.209,0.54,"(-0.849, 1.267)",0.39,0.698
  Egg Harbor Township,-1.628,0.428,"(-2.467, -0.790)",-3.81,0
  Eight Mile,-1.13,0.469,"(-2.049, -0.210)",-2.41,0.016
  El Campo,0.389,0.468,"(-0.529, 1.307)",0.83,0.406
  El Cerrito,-0.936,0.409,"(-1.737, -0.136)",-2.29,0.022
  El Dorado,-0.504,0.427,"(-1.341, 0.333)",-1.18,0.238
  El Mirage,0.191,0.442,"(-0.676, 1.058)",0.43,0.666
  El Monte,-0.846,0.383,"(-1.597, -0.095)",-2.21,0.027
  El Nido,-0.855,0.413,"(-1.663, -0.046)",-2.07,0.038
  El Paso,-1.303,0.442,"(-2.169, -0.437)",-2.95,0.003
  El Portal,-0.852,0.441,"(-1.716, 0.012)",-1.93,0.053
  El Segundo,-0.911,0.387,"(-1.669, -0.153)",-2.36,0.019
  El Sobrante,-0.876,0.388,"(-1.635, -0.116)",-2.26,0.024
  Elbow Lake,-0.73,0.539,"(-1.786, 0.327)",-1.35,0.176
  Elburn,-0.665,0.54,"(-1.723, 0.392)",-1.23,0.217
  Eldon,0.433,0.543,"(-0.632, 1.498)",0.8,0.425
  Eldorado,-0.536,0.537,"(-1.589, 0.517)",-1,0.319
  Electra,-1.676,0.54,"(-2.734, -0.618)",-3.11,0.002
  Eleva,-0.394,0.439,"(-1.254, 0.466)",-0.9,0.369
  Elgin,-0.906,0.385,"(-1.660, -0.152)",-2.35,0.019
  Elizabeth,-0.957,0.399,"(-1.738, -0.175)",-2.4,0.016
  Elizabethport,-1.211,0.41,"(-2.014, -0.408)",-2.96,0.003
  Elizabethton,-1.379,0.54,"(-2.437, -0.321)",-2.55,0.011
  Elizabethtown,-1.539,0.468,"(-2.456, -0.621)",-3.29,0.001
  Elk,-0.859,0.427,"(-1.696, -0.022)",-2.01,0.044
  Elk Grove,-0.848,0.383,"(-1.600, -0.097)",-2.21,0.027
  Elk Grove Village,-0.632,0.403,"(-1.423, 0.159)",-1.57,0.117
  Elkhorn,-0.428,0.411,"(-1.233, 0.377)",-1.04,0.297
  Elkin,-0.74,0.407,"(-1.537, 0.057)",-1.82,0.069
  Elkmont,-1.065,0.541,"(-2.124, -0.005)",-1.97,0.049
  Elko,-1.617,0.468,"(-2.535, -0.700)",-3.46,0.001
  Elko New Market,-0.839,0.391,"(-1.606, -0.072)",-2.14,0.032
  Elkridge,-0.98,0.393,"(-1.751, -0.210)",-2.49,0.013
  Elkton,-0.802,0.385,"(-1.557, -0.046)",-2.08,0.038
  Ellabell,-1.055,0.468,"(-1.973, -0.138)",-2.25,0.024
  Ellenburg Center,0.64,0.468,"(-0.277, 1.557)",1.37,0.171
  Ellendale,-0.846,0.389,"(-1.609, -0.083)",-2.17,0.03
  Ellensburg,-0.193,0.414,"(-1.005, 0.618)",-0.47,0.64
  Ellenton,-0.853,0.402,"(-1.641, -0.064)",-2.12,0.034
  Ellenwood,-1.07,0.406,"(-1.866, -0.274)",-2.64,0.008
  Ellicott City,-0.797,0.395,"(-1.571, -0.022)",-2.02,0.044
  Ellijay,-0.152,0.409,"(-0.954, 0.650)",-0.37,0.71
  Ellisville,-0.406,0.469,"(-1.324, 0.513)",-0.87,0.387
  Ellsworth,-0.628,0.441,"(-1.492, 0.235)",-1.43,0.154
  Elma,-0.099,0.441,"(-0.964, 0.766)",-0.23,0.822
  Elmhurst,-0.755,0.386,"(-1.511, 0.001)",-1.96,0.05
  Elmira,0.33,0.54,"(-0.728, 1.388)",0.61,0.541
  Elmo,-0.724,0.398,"(-1.504, 0.057)",-1.82,0.069
  Elmsford,-1.13,0.392,"(-1.898, -0.361)",-2.88,0.004
  Elmwood Park,-1.23,0.406,"(-2.026, -0.434)",-3.03,0.002
  Eloy,0.129,0.402,"(-0.660, 0.917)",0.32,0.749
  Elsinore,-0.844,0.468,"(-1.760, 0.073)",-1.8,0.071
  Elwell,0.271,0.427,"(-0.566, 1.109)",0.63,0.526
  Ely,-1.018,0.428,"(-1.857, -0.179)",-2.38,0.017
  Elyria,0.162,0.54,"(-0.897, 1.221)",0.3,0.764
  Elysian,-0.796,0.467,"(-1.713, 0.120)",-1.7,0.088
  Embarrass,-0.894,0.539,"(-1.951, 0.163)",-1.66,0.097
  Emerald Hills,-0.86,0.467,"(-1.776, 0.056)",-1.84,0.066
  Emeryville,-0.882,0.383,"(-1.633, -0.130)",-2.3,0.021
  Emigrant Gap,-0.878,0.403,"(-1.668, -0.088)",-2.18,0.029
  Emily,-0.839,0.539,"(-1.896, 0.217)",-1.56,0.12
  Emmet,-1.429,0.541,"(-2.490, -0.368)",-2.64,0.008
  Empire,-0.861,0.468,"(-1.778, 0.056)",-1.84,0.066
  Emporia,-1.052,0.427,"(-1.890, -0.214)",-2.46,0.014
  Encinitas,-0.858,0.384,"(-1.610, -0.106)",-2.24,0.025
  Encino,-0.821,0.383,"(-1.573, -0.070)",-2.14,0.032
  Endicott,-1.38,0.468,"(-2.296, -0.463)",-2.95,0.003
  Enfield,-0.456,0.403,"(-1.247, 0.335)",-1.13,0.258
  Engadine,-0.119,0.539,"(-1.176, 0.938)",-0.22,0.826
  England,0.421,0.541,"(-0.640, 1.483)",0.78,0.436
  Englewood,-0.889,0.385,"(-1.644, -0.134)",-2.31,0.021
  Englewood Cliffs,-1.628,0.54,"(-2.685, -0.570)",-3.02,0.003
  Englishtown,-0.986,0.442,"(-1.852, -0.120)",-2.23,0.026
  Ennis,-0.621,0.54,"(-1.678, 0.437)",-1.15,0.25
  Enoree,-1.356,0.443,"(-2.224, -0.489)",-3.06,0.002
  Enterprise,-0.813,0.386,"(-1.569, -0.057)",-2.11,0.035
  Enumclaw,0.323,0.442,"(-0.543, 1.189)",0.73,0.464
  Enville,0.588,0.468,"(-0.330, 1.506)",1.26,0.209
  Ephraim,-0.8,0.441,"(-1.665, 0.065)",-1.81,0.07
  Ephrata,-1.861,0.54,"(-2.920, -0.802)",-3.44,0.001
  Epping,-0.822,0.442,"(-1.688, 0.045)",-1.86,0.063
  Erie,-0.708,0.391,"(-1.474, 0.057)",-1.81,0.07
  Erlanger,-0.397,0.403,"(-1.186, 0.392)",-0.99,0.324
  Errol,-0.867,0.469,"(-1.786, 0.052)",-1.85,0.064
  Erskine,-0.734,0.539,"(-1.790, 0.323)",-1.36,0.173
  Escalante,-0.822,0.389,"(-1.584, -0.061)",-2.12,0.034
  Escalon,-0.864,0.39,"(-1.628, -0.101)",-2.22,0.027
  Escondido,-0.86,0.383,"(-1.611, -0.109)",-2.24,0.025
  Esparto,-0.864,0.413,"(-1.673, -0.055)",-2.09,0.036
  Esperance,0.491,0.468,"(-0.425, 1.408)",1.05,0.293
  Essex,-0.524,0.41,"(-1.329, 0.280)",-1.28,0.201
  Essex Junction,-1.032,0.543,"(-2.096, 0.033)",-1.9,0.058
  Essig,-1.364,0.468,"(-2.281, -0.448)",-2.92,0.004
  Essington,-0.829,0.469,"(-1.748, 0.090)",-1.77,0.077
  Estacada,-0.818,0.389,"(-1.581, -0.056)",-2.1,0.035
  Estero,-0.742,0.414,"(-1.554, 0.069)",-1.79,0.073
  Estes Park,-0.381,0.419,"(-1.203, 0.440)",-0.91,0.363
  Ethridge,-1.31,0.54,"(-2.368, -0.252)",-2.43,0.015
  Etna,-0.991,0.468,"(-1.908, -0.075)",-2.12,0.034
  Etters,0.144,0.541,"(-0.916, 1.204)",0.27,0.79
  Eugene,-0.815,0.383,"(-1.566, -0.065)",-2.13,0.033
  Euless,-0.662,0.428,"(-1.501, 0.176)",-1.55,0.122
  Eureka,-0.851,0.386,"(-1.608, -0.094)",-2.2,0.028
  Eutaw,-1.134,0.541,"(-2.193, -0.074)",-2.1,0.036
  Evans Mills,0.386,0.438,"(-0.473, 1.244)",0.88,0.379
  Evansdale,-1.481,0.471,"(-2.403, -0.558)",-3.15,0.002
  Evanston,-0.147,0.413,"(-0.956, 0.663)",-0.36,0.722
  Evansville,-0.395,0.39,"(-1.160, 0.371)",-1.01,0.312
  Evart,0.281,0.539,"(-0.776, 1.338)",0.52,0.602
  Eveleth,-0.782,0.394,"(-1.555, -0.009)",-1.98,0.047
  Everett,-0.632,0.387,"(-1.391, 0.126)",-1.63,0.102
  Evergreen,-0.522,0.398,"(-1.303, 0.259)",-1.31,0.19
  Evergreen Park,-0.553,0.419,"(-1.374, 0.269)",-1.32,0.187
  Everson,0.447,0.468,"(-0.471, 1.364)",0.95,0.34
  Excelsior,-0.792,0.401,"(-1.578, -0.006)",-1.97,0.048
  Exeter,-0.802,0.391,"(-1.569, -0.035)",-2.05,0.04
  Exton,-0.813,0.469,"(-1.732, 0.106)",-1.73,0.083
  Eyota,-0.807,0.39,"(-1.571, -0.043)",-2.07,0.038
  Fair Haven,-0.939,0.446,"(-1.813, -0.065)",-2.11,0.035
  Fair Lawn,-0.709,0.468,"(-1.626, 0.209)",-1.51,0.13
  Fair Oaks,-0.637,0.468,"(-1.555, 0.281)",-1.36,0.174
  Fair Play,-0.345,0.54,"(-1.405, 0.714)",-0.64,0.523
  Fairbank,0.66,0.542,"(-0.402, 1.722)",1.22,0.223
  Fairburn,-1.317,0.413,"(-2.127, -0.507)",-3.19,0.001
  Fairdale,0.212,0.47,"(-0.710, 1.134)",0.45,0.653
  Fairfax,-0.912,0.385,"(-1.666, -0.157)",-2.37,0.018
  Fairfax Station,-0.766,0.441,"(-1.630, 0.099)",-1.74,0.083
  Fairfield,-0.858,0.383,"(-1.609, -0.108)",-2.24,0.025
  Fairmont,-0.929,0.403,"(-1.720, -0.139)",-2.3,0.021
  Fairplay,-0.81,0.391,"(-1.576, -0.045)",-2.07,0.038
  Fairport,-1.719,0.572,"(-2.840, -0.598)",-3.01,0.003
  Fairview,-0.871,0.385,"(-1.625, -0.117)",-2.26,0.024
  Faison,0.062,0.54,"(-0.996, 1.121)",0.12,0.908
  Falkville,0.149,0.443,"(-0.718, 1.017)",0.34,0.736
  Fall City,-1.279,0.54,"(-2.337, -0.221)",-2.37,0.018
  Fall River,0.138,0.55,"(-0.939, 1.215)",0.25,0.802
  Fall River Mills,-0.81,0.441,"(-1.674, 0.054)",-1.84,0.066
  Fallbrook,-0.857,0.384,"(-1.609, -0.105)",-2.23,0.025
  Falling Waters,-1.211,0.444,"(-2.081, -0.341)",-2.73,0.006
  Fallon,-1.179,0.461,"(-2.083, -0.274)",-2.55,0.011
  Falls Church,-1.017,0.39,"(-1.781, -0.253)",-2.61,0.009
  Falls Village,0.181,0.468,"(-0.737, 1.099)",0.39,0.699
  Fallston,0.106,0.54,"(-0.954, 1.165)",0.2,0.845
  Falmouth,-0.686,0.395,"(-1.460, 0.088)",-1.74,0.082
  Fancy Gap,-0.448,0.468,"(-1.364, 0.469)",-0.96,0.338
  Fargo,-0.088,0.518,"(-1.104, 0.927)",-0.17,0.865
  Faribault,-0.794,0.39,"(-1.558, -0.031)",-2.04,0.041
  Farmersville,0.073,0.468,"(-0.844, 0.991)",0.16,0.875
  Farmingdale,-0.306,0.393,"(-1.076, 0.465)",-0.78,0.437
  Farmington,-0.948,0.384,"(-1.700, -0.196)",-2.47,0.013
  Farmingville,0.538,0.539,"(-0.519, 1.595)",1,0.318
  Farmland,0.036,0.54,"(-1.022, 1.095)",0.07,0.946
  Farmville,-1.029,0.427,"(-1.867, -0.192)",-2.41,0.016
  Farnham,0.59,0.539,"(-0.467, 1.647)",1.09,0.274
  Fayette,-1.684,0.542,"(-2.746, -0.622)",-3.11,0.002
  Fayetteville,-0.579,0.388,"(-1.340, 0.182)",-1.49,0.136
  Feasterville Trevose,-1.545,0.407,"(-2.343, -0.748)",-3.8,0
  Federal Way,-0.993,0.39,"(-1.758, -0.228)",-2.54,0.011
  Fellows,-0.848,0.413,"(-1.657, -0.039)",-2.06,0.04
  Fellsmere,-0.16,0.54,"(-1.219, 0.898)",-0.3,0.767
  Felton,-0.922,0.387,"(-1.680, -0.164)",-2.38,0.017
  Felts Mills,0.65,0.539,"(-0.407, 1.707)",1.2,0.228
  Fennville,-0.484,0.409,"(-1.286, 0.317)",-1.18,0.236
  Fenton,-1.361,0.393,"(-2.130, -0.591)",-3.47,0.001
  Ferdinand,-0.045,0.54,"(-1.103, 1.014)",-0.08,0.934
  Fergus Falls,-0.766,0.427,"(-1.603, 0.072)",-1.79,0.073
  Ferndale,-0.858,0.442,"(-1.724, 0.008)",-1.94,0.052
  Fernley,-0.279,0.448,"(-1.158, 0.599)",-0.62,0.533
  Ferris,-0.145,0.468,"(-1.062, 0.773)",-0.31,0.757
  Ferron,-0.934,0.409,"(-1.735, -0.133)",-2.28,0.022
  Ferrum,0.458,0.468,"(-0.459, 1.375)",0.98,0.328
  Festus,0.41,0.542,"(-0.652, 1.471)",0.76,0.45
  Feura Bush,-1.327,0.468,"(-2.243, -0.410)",-2.84,0.005
